name,status,util,density,min_density,pad_left,pad_right,core_space,die_w,die_h,die_area,core_w,core_h,core_area,std_area,core_util_pct,wns_max,tns_max,legalized_hpwl_um
baseline,ok,35.0,0.45,0.47,2,2,10.0,1441.685,1441.685,2078455.639,1421.28,1421.28,2020036.838,713621.261,35.33,0.0,0.0,860402.4
u45p1,ok,45.0,0.55,0.55,1,1,10.0,1273.805,1273.805,1622579.178,1253.28,1249.92,1566499.738,713398.291,45.54,-0.05,-0.2,747716.9
u50p1,ok,50.0,0.62,0.61,1,1,10.0,1209.465,1209.465,1462805.586,1188.88,1184.4,1408109.472,713223.302,50.65,0.0,0.0,712406.3
u55p1,ok,55.0,0.68,0.67,1,1,10.0,1154.11,1154.11,1331969.892,1134.0,1134.0,1285956.0,713429.338,55.48,-0.03,-0.03,703465.2
u60p1,ok,60.0,0.75,0.73,1,1,10.0,1105.83,1105.83,1222859.989,1085.28,1083.6,1176009.408,713714.4,60.69,0.0,0.0,684397.4
u55p0,ok,55.0,0.62,0.59,0,0,10.0,1154.11,1154.11,1331969.892,1134.0,1134.0,1285956.0,713564.813,55.49,0.0,0.0,696749.4
u60p0,ok,60.0,0.7,0.64,0,0,10.0,1105.83,1105.83,1222859.989,1085.28,1083.6,1176009.408,713426.515,60.67,0.0,0.0,651758.6
u65p1,ok,65.0,0.82,0.79,1,1,10.0,1063.23,1063.23,1130458.033,1042.72,1038.24,1082593.613,713827.296,65.94,-0.01,-0.01,667651.1
u70p1,ok,70.0,0.9,0.85,1,1,10.0,1025.28,1025.28,1051199.078,1005.2,1002.96,1008175.392,713387.002,70.76,0.0,0.0,642483.2
u65p0,ok,65.0,0.78,0.7,0,0,10.0,1063.23,1063.23,1130458.033,1042.72,1038.24,1082593.613,713618.438,65.92,0.0,0.0,632078.9
u70p0,ok,70.0,0.85,0.75,0,0,10.0,1025.28,1025.28,1051199.078,1005.2,1002.96,1008175.392,713231.77,70.74,0.0,0.0,612126.1
u60p1cs5,ok,60.0,0.75,0.73,1,1,5.0,1095.83,1095.83,1200843.389,1085.28,1083.6,1176009.408,713409.581,60.66,0.0,0.0,665957.4
u75p1,ok,75.0,0.96,0.91,1,1,10.0,991.195,991.195,982467.528,971.04,967.68,939655.987,713765.203,75.96,-0.01,-0.01,650592.8
u75p0,ok,75.0,0.9,0.8,0,0,10.0,991.195,991.195,982467.528,971.04,967.68,939655.987,713717.222,75.96,0.0,0.0,624118.3
u80p1,ok,80.0,0.99,0.97,1,1,10.0,960.355,960.355,922281.726,940.24,937.44,881418.586,713259.994,80.92,0.0,0.0,653637.8
u80p0,ok,80.0,0.95,0.85,0,0,10.0,960.355,960.355,922281.726,940.24,937.44,881418.586,713477.318,80.95,0.0,0.0,646343.2
u80p0cs5,ok,80.0,0.95,0.85,0,0,5.0,950.355,950.355,903174.626,940.24,937.44,881418.586,713768.026,80.98,0.0,0.0,652268.0
u80p1cs5,ok,80.0,0.99,0.97,1,1,5.0,950.355,950.355,903174.626,940.24,937.44,881418.586,713736.979,80.98,-0.03,-0.05,663621.5
